Serial number,LOCATION,VISUAL.1,VISUAL.2,VISUAL.3,VISUAL.4,VISUAL.5,VISUAL.6,VISUAL.7,VISUAL.8,VISUAL.9,VISUAL.10,VISUAL.11,VISUAL.12,VISUAL.13,VISUAL.14,VISUAL.15,VISUAL.16,VISUAL.AMOUNT,AUDITORIAL.1,AUDITORIAL.2,AUDITORIAL.3,AUDITORIAL.4,AUDITORIAL.5,AUDITORIAL.6,AUDITORIAL.7,AUDITORIAL.8,AUDITORIAL.9,AUDITORIAL.10,AUDITORIAL.11,AUDITORIAL.12,AUDITORIAL.13,AUDITORIAL.14,AUDITORIAL.15,AUDITORIAL.16,AUDITORIAL.AMOUNT,KINESTHETIC.1,KINESTHETIC.2,KINESTHETIC.3,KINESTHETIC.4,KINESTHETIC.5,KINESTHETIC.6,KINESTHETIC.7,KINESTHETIC.8,KINESTHETIC.9,KINESTHETIC.10,KINESTHETIC.11,KINESTHETIC.12,KINESTHETIC.13,KINESTHETIC.14,KINESTHETIC.15,KINESTHETIC.16,KINESTHETIC.AMOUNT,FINAL,FINAL KLUE
12,YOGYAARTA DISTRICT,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,9,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,10,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,11,A,1
13,YOGYAARTA DISTRICT,0,0,0,0,1,0,0,1,0,1,0,,1,0,0,1,5,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,7,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,5,A,1
14,YOGYAARTA DISTRICT,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,6,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,8,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,11,K,3
15,YOGYAARTA DISTRICT,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,8,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,5,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,5,V,2
16,YOGYAARTA DISTRICT,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,7,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,5,A,1
17,YOGYAARTA DISTRICT,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,7,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,9,V,2
18,YOGYAARTA DISTRICT,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,10,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,10,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,12,K,3
19,YOGYAARTA DISTRICT,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,11,0,1,0,1,1,0,0,0,1,0,,1,1,0,0,0,6,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,11,V,2
20,YOGYAARTA DISTRICT,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,9,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,10,A,1
21,YOGYAARTA DISTRICT,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,5,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,10,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,8,A,1
22,YOGYAARTA DISTRICT,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,8,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,5,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,9,V,2
23,YOGYAARTA DISTRICT,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,9,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,5,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,8,V,2
24,YOGYAARTA DISTRICT,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,8,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,10,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,7,A,1
25,YOGYAARTA DISTRICT,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,9,0,1,0,0,1,1,1,0,1,0,,1,1,0,0,1,8,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,9,V,2
26,YOGYAARTA DISTRICT,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,9,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,6,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,8,V,2
27,YOGYAARTA DISTRICT,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,6,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,9,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,11,A,1
28,YOGYAARTA DISTRICT,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,8,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,7,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,10,K,3
29,YOGYAARTA DISTRICT,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,10,0,1,0,0,1,1,0,0,1,0,,1,1,0,0,0,6,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,12,V,2
30,YOGYAARTA DISTRICT,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,7,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,8,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,8,A,1
31,YOGYAARTA DISTRICT,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,10,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,6,0,1,1,0,1,1,0,,,1,1,0,1,1,1,1,10,V,2
32,YOGYAARTA DISTRICT,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,7,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,6,A,1
33,YOGYAARTA DISTRICT,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,5,V,2
34,YOGYAARTA DISTRICT,1,0,0,0,1,1,,0,0,1,1,1,1,0,0,0,7,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,8,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,7,A,1
35,YOGYAARTA DISTRICT,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,9,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,6,V,2
36,YOGYAARTA DISTRICT,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,8,1,1,0,0,0,1,1,,0,1,0,1,1,0,0,0,7,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,11,K,3
37,YOGYAARTA DISTRICT,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,7,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,6,,,,,,,,,,,,,,,,,0,K,3
38,YOGYAARTA DISTRICT,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,7,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,9,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,10,A,1
39,YOGYAARTA DISTRICT,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,10,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,11,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,8,K,3
40,YOGYAARTA DISTRICT,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,11,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,7,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,10,V,2
41,YOGYAARTA DISTRICT,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,7,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,8,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,7,A,1
42,YOGYAARTA DISTRICT,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,5,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,10,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,9,A,1
43,YOGYAARTA DISTRICT,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,7,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,10,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,10,A,1
44,YOGYAARTA DISTRICT,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,7,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,11,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,6,A,1
45,YOGYAARTA DISTRICT,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,9,V,2
46,YOGYAARTA DISTRICT,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,8,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,4,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,6,V,2
47,YOGYAARTA DISTRICT,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,6,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,7,V,2
48,YOGYAARTA DISTRICT,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,5,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,8,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,12,K,3
49,YOGYAARTA DISTRICT,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,6,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,11,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,8,A,1
50,YOGYAARTA DISTRICT,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,8,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,8,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,9,K,3
51,YOGYAARTA DISTRICT,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,8,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,9,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,12,K,3
52,YOGYAARTA DISTRICT,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,7,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,11,K,3
53,YOGYAARTA DISTRICT,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,9,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,6,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,5,V,2
54,YOGYAARTA DISTRICT,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,7,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,8,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,9,A,1
55,YOGYAARTA DISTRICT,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,8,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,6,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5,V,2
56,YOGYAARTA DISTRICT,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,7,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,7,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,8,K,3
57,YOGYAARTA DISTRICT,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,9,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,12,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,11,A,1
58,YOGYAARTA DISTRICT,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,5,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,9,V,2
59,YOGYAARTA DISTRICT,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,9,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,6,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,6,V,2
60,YOGYAARTA DISTRICT,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,7,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,7,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,11,K,3
61,YOGYAARTA DISTRICT,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,5,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,8,K,3
62,YOGYAARTA DISTRICT,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,9,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,7,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,10,V,2
63,YOGYAARTA DISTRICT,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,6,V,2
64,YOGYAARTA DISTRICT,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,10,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,8,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,5,K,3
65,YOGYAARTA DISTRICT,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,11,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,8,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,10,V,2
66,YOGYAARTA DISTRICT,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,6,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,12,K,3
67,YOGYAARTA DISTRICT,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,7,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,6,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,12,K,3
68,YOGYAARTA DISTRICT,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,9,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,13,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,11,A,1
69,YOGYAARTA DISTRICT,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,11,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,5,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,4,V,2
70,YOGYAARTA DISTRICT,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,5,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,8,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,9,A,1
71,YOGYAARTA DISTRICT,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,8,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,6,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,7,V,2
72,YOGYAARTA DISTRICT,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,9,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,13,V,2
73,YOGYAARTA DISTRICT,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,7,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,7,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,10,K,3
74,YOGYAARTA DISTRICT,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,8,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,8,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,6,K,3
75,YOGYAARTA DISTRICT,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,7,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,8,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,11,K,3
76,YOGYAARTA DISTRICT,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,7,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,10,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,6,A,1
77,YOGYAARTA DISTRICT,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,7,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,11,K,3
78,YOGYAARTA DISTRICT,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,6,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,7,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,8,A,1
79,YOGYAARTA DISTRICT,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,5,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,8,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,9,A,1
80,YOGYAARTA DISTRICT,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,8,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,8,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,9,K,3
81,YOGYAARTA DISTRICT,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,6,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,8,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,11,K,3
82,YOGYAARTA DISTRICT,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,7,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,8,A,1
83,YOGYAARTA DISTRICT,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,8,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,11,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,9,A,1
84,YOGYAARTA DISTRICT,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,8,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,8,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,9,K,3
85,YOGYAARTA DISTRICT,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,8,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,5,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,9,V,2
86,YOGYAARTA DISTRICT,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,5,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,5,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,10,K,3
87,YOGYAARTA DISTRICT,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,9,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,4,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,8,V,2
88,YOGYAARTA DISTRICT,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,9,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,7,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,6,V,2
89,YOGYAARTA DISTRICT,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,8,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,12,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,7,A,1
90,YOGYAARTA DISTRICT,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,7,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,9,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,7,A,1
91,YOGYAARTA DISTRICT,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,11,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,7,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,8,V,2
92,YOGYAARTA DISTRICT,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,8,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,8,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,11,K,3
93,YOGYAARTA DISTRICT,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,5,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,7,V,2
94,YOGYAARTA DISTRICT,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,8,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,4,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,9,V,2
95,YOGYAARTA DISTRICT,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,8,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,5,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,6,V,2
96,YOGYAARTA DISTRICT,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,7,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,8,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,5,K,3
97,YOGYAARTA DISTRICT,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,6,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,9,V,2
98,YOGYAARTA DISTRICT,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,7,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,11,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,4,A,1
99,YOGYAARTA DISTRICT,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,5,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,7,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,10,K,3
100,YOGYAARTA DISTRICT,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,4,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,11,K,3
101,YOGYAARTA DISTRICT,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,5,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,9,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,9,A,1
102,YOGYAARTA DISTRICT,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,8,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,12,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4,K,3
103,YOGYAARTA DISTRICT,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,5,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,8,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,10,A,1
104,YOGYAARTA DISTRICT,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,4,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,8,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,9,A,1
105,YOGYAARTA DISTRICT,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,7,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,7,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,11,K,3
